#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
亡	㟐㠵䥰亡吂妄忘忙恾朚望杗氓汒甿盲硭肓芒茫莣虻蝱衁邙鋩铓
亢	㰠㽘䟘䡉䴚亢伉劥吭坑忼抗杭沆炕牨犺砊秔笐肮航苀蚢迒邟閌闶阬頏颃骯魧
交	㬵㼎䂭䉰䍊䕧䘨䢒交佼傚効咬姣恔效晈校洨烄狡珓皎礮窔筊絞绞胶茭蛟詨跤較较郊鉸铰頝餃饺駮骹鮫鲛鵁齩
亥	㚊㤥㧡㱾䬵亥侅刻劾咳垓奒姟孩峐晐核欬氦烗痎硋絯胲荄該该豥賅赅輆郂閡阂陔頦颏餩駭骇骸
亦	㴒亦奕帟弈
亨	亨哼悙烹脝
享	享亯
京	㹁䁁䝶䣼京亮倞凉剠勍弶掠椋涼綡諒谅輬鯨鲸鶁麖黥
亭	䁎亭停婷揨楟渟聤葶
亳	亳
亶	㔊㣶䁴䄠䆄䡀亶儃坛壇嬗擅旜檀毡氈澶皽繵羶膻蟺襢譠邅顫颤饘驙鱣鳣鸇鹯
人	人仁佞朲
亼	亼
今	㪁䔷䩂䪩䰼䶃䶖今吟坅妗庈搇枔欦玪琴笒紟耹肣芩荶衾衿訡鈐钤雂靲鳹黅黔
介	㝏㠹䦏䯰䲸介价圿妎尬忦扴玠界疥砎芥衸骱魪齘
仌	㵗仌冫冯冰凭憑砯馮
从	从
付	㾈䒀䠵付咐坿姇弣怤拊柎泭祔符紨胕苻蚹袝跗軵鉜附駙驸鮒鲋
仙	仙仚苮
仝	仝
代	代岱帒玳袋貸贷鴏黛
令	㸳䉁䕘䯍䴇令伶冷刢呤命囹姈岭嶺彾怜拎旍昤柃泠澪狑玲瓴矜砱秢竛笭紷羚翎聆舲苓蕶蛉袊詅跉軨鈴铃閝阾零領领駖魿鴒鸰鹷齡龄
件	件
任	䇮䛘䣸任恁拰栠絍荏袵賃赁銋餁鵀
企	企
伊	伊咿蛜
伏	伏垘栿洑絥茯袱
伐	䣹伐垡栰筏茷閥阀
休	㹯㾋休咻庥恘烋茠貅髤髹鵂鸺
位	位涖莅蒞
余	㻌䅷䍱䔑䞮䣄䩣佘余俆叙塗峹嵞庩徐悆悇捈搽敘斜梌涂漵狳瑹畬畲稌筡艅茶荼蒤蜍賒赊途酴雓餘駼鵌
佩	佩珮
侃	侃偘諐
來	㾢䅘䋱䚅來倈勑唻崃崍庲徕徠来棶涞淶猍睐睞莱萊誺賚赉逨郲騋鯠鶆麳
侌	侌廕荫蔭阴陰霠
侖	䈁䑳仑伦侖倫崘崙惀抡掄棆沦淪溣睔碖綸纶耣菕蜦論论踚輪轮錀陯鯩
侯	㮢䗔䙈䞀䫛侯候喉堠帿猴瘊睺矦篌糇緱缑翭葔鄇鍭餱鯸
侵	㾛䈜䜷䯹侵埐寑寖寝寢梫浸濅祲綅薓鋟锓駸骎
便	㛹便楩箯緶缏鞭鯾
保	㨐保堡堢宲緥葆裒褒褓襃賲
俞	㓱㡏㢏㼶䕆䜽䠼䤅䩱俞偷喻堬媮崳愈愉揄榆歈毹渝牏瑜瘉癒窬緰羭腧萮蕍蝓褕覦觎諭谕貐踰輸输逾鄃鍮隃騟
信	信
倉	仓伧倉傖凔创創呛嗆怆愴抢搶枪槍沧滄牄玱瑲疮瘡舱艙苍蒼跄蹌鎗鶬
倝	㲦䮧乾倝幹擀斡榦漧澣瀚簳翰螒雗韓韩鶾
傘	伞傘
備	㣁㸢俻備备惫憊犕糒鞴韛
傝	䈳䪚傝塌搨榻毾溻蹋躢遢闒阘鰨
僉	㿌䌞䲓佥俭僉儉剑劍劒劔匳厱噞奁奩嬐崄嶮憸捡撿敛斂检檢歛殓殮潋瀲猃獫睑瞼碱簽籢籨羷脸臉蔹薟蘞譣醶险險顩驗验鹼
僰	僰
儥	䢱儥匵嬻椟櫝殰渎瀆牍牘犊犢瓄皾窦竇續续藚襩覿觌讀讟读豄贕贖赎韇黩黷
兀	䑢兀屼扤杌矹軏髡鼿
允	允吮抁沇狁玧馻
兂	兂
元	䬧䯈元冠刓园妧岏忨抏杬沅玩翫芫蚖貦邧阮頑顽黿鼋
兄	兄况怳況貺贶
充	㤝㳘䘪充珫統统茺銃铳
兆	䂪䄻䍮䠷佻兆咷垗姚庣恌挑旐晁朓桃洮烑狣珧眺祧窕筄絩聎脁艞覜誂趒跳逃銚铫鞉頫餆駣鮡鼗
先	㪇㭠侁先兟冼姺毨洗筅箲詵诜跣銑铣駪
光	䯑侊光垙恍桄洸灮胱茪觥輄駫
克	克剋勀勊
兌	㟋䌼䓲䫄䬽侻兌兑娧帨悅悦挩捝敓敚梲棁毤涗涚痥稅税綐脫脱莌蛻蜕裞說説说銳鋭锐閱閲阅駾鮵
免	㝃俛免冕勉奿娩婏嬎悗挽晚浼絻脕莬輓鞔鮸
兒	㪒䍲䘽倪儿兒唲堄婗掜晲棿猊睨蜺觬誽貎輗郳陧隉霓鯢鲵鶂麑齯
兓	兓灊鬵
兔	㭸㲋䖘兔梚菟鵵
兕	兕
兗	兖兗渷萒
兜	兜篼
兢	兢殑
入	入
內	㕯㘨㨅㨥㶧䄲䪏內内吶呐妠抐枘汭焫笍納纳肭芮蒳蜹衲訥讷豽軜鈉钠魶
全	㒰䀬佺全峑恮拴栓牷痊硂筌絟荃詮诠跧輇辁醛銓铨駩
兩	㒳㔝两俩倆兩緉脼蜽輛辆魉魎
八	八叭扒朳汃玐趴釟
公	㕬䇗䡆䯳伀公妐彸忪炂瓮蚣衳訟讼頌颂
六	六
兮	䒊䚷兮枍盻
共	㤨䢼䧆䱋䳍供共哄巷恭拱拲栱洪港烘珙舼葓蕻蛬衖谼輁輂鉷髸鬨龏龔龚
兵	㑟㙃兵捠浜
其	䑴䫏䳢䶞僛其唭基娸帺惎旗朞期棊棋櫀欺淇琪璂碁祺禥稘箕綦綨萁藄蜝蜞諅諆踑錤騏骐魌鯕麒
具	㮂䋰䡞俱具埧椇颶飓
典	㥏䠄典晪淟琠痶碘腆賟錪
兹	兹嗞孳嵫慈滋濨磁礠稵糍茲螆鎡镃鰦鶿鷀鹚
兼	㡘㺌㽐㾾䫡䭑傔兼嗛嫌尲嵰慊搛槏歉溓熑甉稴縑缣膁蒹謙谦豏賺赚鎌隒馦鬑鰜鳒鶼鹣鹻鼸
冀	兾冀懻驥骥
冂	冂
冃	冃
冉	㘱㴂㾆䎃䔜䶲冄冉呥姌抩柟聃舑苒蚺袡髯
冊	冊册柵栅笧
冋	冋坰扃泂炯絅苘詗迥駉
再	再洅
冎	冎
冏	㴄冏囧
冒	冒勖勗媢帽瑁艒萺賵赗
冓	㗕㝤䃓傋冓媾搆斠构構沟溝煹篝耩褠覯觏講讲購购遘鞲韝
冖	冖冟鼏
冗	䢇冗宂
冘	㓄㱽㼉㽎㽸䏙䒞䪴冘妉忱抌枕沈沉瓭眈紞耽莐衴訦邥酖鈂霃馾髧魫鴆鸩黕
冡	䴿冡霥
冤	䥉冤蒬
冥	㨠䈿䏃䒌䫤冥塓嫇幎慏暝榠溟猽瞑蓂螟覭鄍
冬	㠽㤏䈺䶱佟冬咚柊泈炵疼笗終终苳蔠螽鉖鴤鼕鼨
几	㞦䢳几机肌虮飢饥麂
凡	凡凤帆梵汎芃軓釩钒鳳
凵	㧄凵
凶	㟅兇凶匈忷恟汹洶胷胸訩詾酗
凷	凷屆届
出	㑁㒴㤕㽾䂐䖦䪼出咄拙柮欪泏炪窋絀绌聉胐茁袦詘诎貀趉鈯黜齣
函	㮭䈄䤴䨡函圅涵菡蜬顄
刀	䫸刀叨忉朷灱舠芀釗钊魛鱽鳭
刁	刁叼
刃	㠴㲽䏰䵑仞刃忍杒涊牣紉纫肕荵訒認认軔轫韌韧
刅	刅刱梁粱
分	㞣份分吩坋坌妢弅忿扮攽朌枌梤棻棼氛汾玢盼砏秎粉紛纷羒肦芬蚡衯貧贫邠雰頒颁馚魵鳻黺鼢
切	䀙䟙切沏砌
刑	㓝㼛侀刑型形硎荆荊邢鈃鉶钘铏
列	㤠㾐䅀䶛例冽列咧姴峛挒栵洌烈茢蛚裂迾銐颲鮤鴷
初	初
