#本表聲旁及轄字無重覆。
⺽	⺽䳔閰
塞	㥶僿塞寨簺賽赛
塵	塵尘
士	仕士茌
壬	䏕壬妊紝纴衽飪饪
壯	䊋匨壮壯奘庄莊装裝
壴	壴
壹	㙪䊦亄噎壹懿撎曀殪豷饐鷧
壺	㯛壶壷壺
壼	壸壼
壽	㹗㿒䊭䬞䮻俦儔壔壽寿帱幬懤擣梼檮涛濤焘燽燾璹畴疇祷禱筹籌翿薵譸诪踌躊醻鑄铸魗
夂	夂
夃	夃羖股
夅	䂫䇨䜶夅栙洚絳绛跭降
夆	㸼夆峯峰捀桻烽胮舽莑蜂鋒锋韸髼
夊	䒘夊
夋	㕙䈗䘒䝜䞭俊唆埈夋峻悛捘晙朘梭浚焌狻畯痠皴稄竣脧荾葰誜踆逡酸鋑陖餕駿骏鵕
夌	㥄㱥䔖倰凌夌崚庱掕棱淩睖祾稜綾绫菱蔆踜輘陵鯪鲮
复	㙏复復愎椱澓腹蕧蝮複覆輹鍑馥鰒鳆
夏	厦嗄夏廈榎
夐	夐敻琼瓊矎藑觼讂
夒	㹛巎扰擾獿
夔	夔犪躨
夕	夕汐矽穸
夗	㠾䖤䛄夗怨盌眢苑葾鴛鸳
夙	㑉夙洬
多	㒅㗬㡅㢁㢋㶴䋾䏧䐒䔟䡔䫂䬷侈卶哆垑多奓姼恀扅拸栘橠熪爹痑眵移簃蛥袲袳誃謻趍跢迻鉹陊黟
夜	䘸䤳夜掖液焲腋鵺
大	㐲䲦大太忕戻杕汏汰泰軑达釱馱驮
夨	㳁仄夨庂昃
天	䚶吞天祆
夫	㠸䃿䄮伕夫妋扶枎玞肤芙蚨衭趺邞鈇颫鳺麩麸
夬	㭈䀗䆕䆢䏐䦑决吷夬妜快抉決炔玦疦筷缺芵蒛蚗袂觖訣诀赽趹鈌駃鴂
夭	㕭㤇䴠仸夭妖枖殀沃祅芺訞鋈镺飫饫
央	㹧㿮䄃䇦䬬佒咉坱央姎岟怏映柍殃泱炴盎眏秧紻胦詇軮醠鉠雵鞅駚鴦鸯
夰	夰奡昊昦
失	䭿䰡䳀佚劮失妷帙抶昳柣泆瓞眣秩紩翐胅苵蛈袠詄趃跌軼轶迭镻
夲	夲
夵	夵
夷	䧅䨑咦夷姨峓恞桋洟痍眱羠胰荑蛦跠銕鮧鴺
夸	㡁㰭䠸侉刳咵垮夸姱恗挎摦洿瓠絝胯荂袴誇跨郀銙陓骻鮬鴮
夾	㛍㤲㥦㥷㰰㰼㼪㾜㿓䀹䇲䧪䩡䬊䵌侠俠匧唊夹夾峡峽悏惬愜挟挾梜浃浹狭狹瘗瘞瘱硖硤筴箧篋綊翜脥荚莢蛱蛺裌郏郟鋏铗陜陿頰颊鵊
奄	㛪㞄㡋㤿㪑㭺䁆䎨䛳䣍䤶俺唵埯奄崦庵掩晻殗淹罨腌菴裺醃閹阉餣馣鵪鹌黤
奇	㞆㢊㥓㱦㾨䐀䗁倚剞奇婍寄崎徛掎攲旖椅檹欹漪犄猗琦畸碕竒綺绮觭踦躸輢錡锜陭騎骑鵸齮
奉	俸唪埲奉捧棒琫菶蜯
奏	凑奏揍楱湊腠輳辏
奐	唤喚奂奐寏换換涣渙焕煥痪瘓
奔	奔錛锛餴鼖
奚	㜎㨙䙎傒奚嵠徯慀榽溪磎膎蒵螇謑谿豯貕蹊雞鞵騱鷄鸂鸡鼷
奠	㞟㽀奠掷擲踯躑郑鄭
奤	奤
奧	䉛䐿䜒噢墺奥奧懊澳燠薁袄襖隩
奪	夺奪
奭	奭襫
奮	奋奮
奰	奰贔赑
女	㚢女汝籹肗
奴	䋈努呶奴孥帑弩怒怓拏拿砮笯詉駑驽
奻	奻
好	好薅
如	如帤恕挐洳絮茹蒘蕠袽鴽
妟	妟宴
妥	㞂㟎㱣㼏䅑妥娞挼桵浽綏绥脮荽鋖餒馁骽鮾鵎
妻	㼮䃀凄妻悽棲淒緀萋郪霋鶈
妾	䈉妾帹接椄淁翣菨踥霎鯜
委	㞜㢻㮃䅗䍴䬐䴧倭委捼涹痿矮緌萎蜲覣諉诿踒躷逶餧
姥	姥峔
姦	姦葌
威	威崴楲葳蝛隇鰄
婁	㜢㪹㺏䅹䝏䣚䱾偻僂喽嘍塿娄婁屡屢屦屨嵝嶁廔慺搂摟楼樓氀溇漊甊瘘瘻瞜窭窶篓簍縷缕耧耬膢艛蒌蔞蝼螻褛褸謱貗遱鏤镂鞻髅髏鷜
婦	妇婦
嬰	䙬嘤嚶婴嬰巊廮撄攖樱櫻瀴璎瓔瘿癭纓缨蘡鸚鹦
嬲	嫐嬲
嬴	㜲䕦嬴攍瀛籝贏赢
嬽	嬽
子	㜽仔子孖孜杍秄籽耔芓虸
孑	孑釨
孓	孒孓
孔	吼孔
孕	孕
字	字牸茡
存	存拵栫洊臶荐袸
孚	㲗䞯䨗䱐䳕俘哹孚孵捊桴殍浮烰琈稃筟粰罦脬艀莩蜉郛
孛	㛘㪍㶿䪬勃哱孛悖挬桲浡渤綍脖荸誖郣餑饽馞鵓鹁
孝	㹲哮孝庨涍窙酵
孟	䁅孟猛艋蜢錳锰
季	季悸痵
孨	孨
孫	孙孫愻搎狲猻荪蓀逊遜
孰	䃞塾孰熟
孱	僝孱樼潺轏
孴	孴
學	㽇䁷䑁䮸学學嶨搅攪斅斆泶澩礐覺觉觷鱟鲎鷽
宀	宀
宁	䍆䘢伫佇宁柠眝竚紵纻羜苎苧詝貯贮
它	㸰㼠䍫䙾䡐䬁佗它拕柁沱紽舵蛇袉詑跎迱酡鉈铊陀駝驼鮀鴕鸵鼧
守	守狩
安	䀂䅁䢿侒咹安按案氨洝胺荌鞌鞍頞鴳
宋	宋
完	䯘䴷俒垸完捖晥梡浣皖睆筦綄脘莞院鯇鲩
宓	䁇宓淧蜜
宕	宕菪
宗	䝋倧孮宗悰棕淙琮粽綜综誴賨踪錝鬃
官	䗆䘾䩪倌婠官悹悺捾棺涫琯痯管綰绾菅輨逭錧館馆
定	定掟淀綻绽錠锭靛顁
宛	䘼䝹䡝䩊䩩倇剜埦婉宛帵惋惌捥晼椀涴焥琬畹睕碗腕菀蜿豌踠鵷鹓黦
宜	㝖宐宜竩誼谊
客	喀客愙揢楁額额髂
宣	䳦喧宣愃揎暄楦渲瑄翧萱蝖諠
室	室
宦	宦
宮	䃔宫宮
宰	䏁䔂宰梓滓縡
害	㪡㮫㲅割害犗瞎磍縖豁轄辖鎋鶷
家	傢嫁家幏稼
宷	㰂婶嬸审宷審瀋
容	㝐㼸䈶傛塎容嵱搈榕溶熔瑢蓉褣鎔镕
宿	䑿宿摍樎縮缩蓿蹜
寅	夤寅戭演濥瞚縯蔩螾鏔
密	㑻密樒滵蔤
寇	寇滱簆蔻
寍	寍
寒	䙭䞿寋寒搴攐藆褰謇蹇鑳騫骞鶱
寡	寡
寣	寣
實	实實
寧	㲰䔭䗿䭢儜咛嚀嬣寗寧拧擰檸泞濘狞獰甯聍聹薴鑏鬡鸋
寸	刌吋寸忖村
寺	侍偫寺峙庤待恃持歭洔畤痔秲詩诗跱邿鼭
寽	㭩㲕㸹䟹哷埒寽捋浖脟蛶酹鋝锊
封	㨍封崶帮幫湗犎葑鞤
尃	㗘䍸䎔䗚䙏䪙䭦䶈傅博尃搏榑欂溥猼礡礴簙簿縛缚膊蒪薄賻赙鎛鑮镈餺馎髆
射	㴬䠶射榭謝谢麝
將	㢡㯍䉃䵼奖将將嶈桨槳浆漿獎蒋蔣螀螿蹡酱醬鏘锵鱂
專	专传傳剸啭囀团團塼嫥專慱抟摶漙甎砖磚竱篿縳膞莼蓴轉转鄟鱄鷒
尉	㷉䲁尉慰熨犚罻蔚螱褽鳚
尊	䔿僔噂墫壿尊嶟撙樽竴繜罇譐蹲遵鐏鱒鳟鷷
尋	寻尋憳撏樳浔潯燖荨蕁襑鄩
尌	厨尌幮廚树樹橱櫥澍蹰躕
對	䨴对對怼懟濧薱轛
小	㭂䒕小釥
尐	尐
少	㠺䒚䖢仯吵妙少抄杪渺炒玅眇秒篎緲缈耖觘訬鈔钞麨
尒	㚷伱你妳尒尔弥您苶迩
尖	尖
尗	䦊寂尗椒茮踧鮛
尚	䉎䟫倘偿償嘗嚐埫嫦尚尝常徜掌撐撑棠橕橖淌牚瓽甞裳賞赏趟蹚躺鋿
尞	㙩䕩䝤䩍僚嘹嫽寮尞嶚憭撩橑潦燎爒獠璙疗療瞭竂簝繚缭膫蟟轑辽遼鐐镣镽飉鷯鹩
尟	尟
尢	尢尣尪
尤	尤忧沋疣肬蚘訧魷鱿
尨	㙙㟌䏵䵨厖哤娏尨浝牻狵痝蛖駹
就	㠇僦噈就殧蹴鷲鹫
尸	㕧䐅尸屍屎屓杘鳲鸤
尹	䪳尹笋芛
尺	呎尺蚇
尼	䝚呢坭埿妮尼屔怩抳旎昵柅泥狔痆秜苨蚭跜迡
尾	䅏䊊䜸䞔䬿娓尾浘
尿	㞙尿
局	䎤侷局挶梮跼鋦駶
居	䝻䱟倨居崌据椐涺琚腒蜛裾踞鋸锯鶋
屈	䓛䘿䞷䠇倔啒堀屈崛掘淈窟鶌
屋	偓剭喔媉屋幄握楃渥腛齷龌
屑	㨝屑榍糏
展	㜊㞡展搌碾輾辗
屖	厗墀屖稚稺謘迟遟遲
屚	屚漏瘺
屠	䠧䣝屠廜鷵
履	履
屬	䌵䙱䠱嘱囑孎属屬斸欘瞩矚蠾钃
屮	屮
屯	㹠䣩吨噸囤坉屯庉忳扽杶沌盹窀純纯肫芚蒓訰豘軘迍邨鈍钝頓顿飩饨黗
屰	屰縌蝷逆
山	䴮山屾汕疝秈籼舢訕讪邖
岑	侺岑梣涔
岡	㓻冈刚剛堈岗岡崗掆犅綱纲鋼钢
岳	岳捳
崇	㓽崇崈漴
崔	䜅催嗺崔嶉嶊慛摧槯漼璀皠繀膗鏙
崩	䣙崩漰繃绷蹦
嵒	嵒癌碞
嵩	嵩
巂	㔒䪎䭨儶孈嶲巂携攜欈瓗纗蠵觽觿讗酅鑴雟驨
巜	巜
川	㸪䡅圳巛川巡紃訓训釧钏順顺馴驯
州	喌州洲詶酬
巟	㡆㬻㼹䀮䐠巟慌荒詤謊谎
巠	䀴䞓䣆䪫俓刭剄劲勁坙娙巠径徑桱氢氫泾涇烃烴牼痉痙硁硜經经羟羥胫脛茎莖葝蛵誙踁輕轻逕鋞鑋陉陘頸颈鵛
巢	㑿䜈䲃剿勦巢摷樔漅璅繅缫罺薻轈鄛
巤	㯿㲱䁽䃳䉭䗶䜲䪉儠巤擸犣獵臈臘蠟躐邋鑞镴鬣鱲
工	㓚䉺䜫䪦䫹仜功叿屸工扛攻杠桏汞江渱澒玒瓨疘矼筇紅红缸羾肛舡茳荭葒虹訌讧豇邛釭項项魟鴻鸿
左	㝾䦈佐左袏
巨	䢹䶙巨拒柜榘歫炬矩秬粔苣螶詎讵距鉅駏
巩	㧬㼦䂬䅃䡗巩恐蛩跫銎鞏
巫	巫莁誣诬鵐
差	㽨㿷䐤䑘䰈䴾傞嗟嵯嵳差搓槎溠瑳瘥磋縒艖蒫褨蹉醝鎈髊鹺鹾齹
己	䋟妀屺己忌改杞梞玘紀纪芑記誋记起跽邔鵋
巳	㱼圯媐已巳巸异戺攺汜熙祀
巴	㿬吧妑巴帊弝把杷爬爸琶疤笆耙舥芭葩蚆豝跁鈀钯靶
巵	㯄卮巵栀梔
巹	巹
巽	㷷䍻䠣僎巽撰潠簨繏蟤襈譔选選鐉顨饌馔
巾	㧆巾
巿	㤄㧊㸬䍨䑔䟛䢌䣪䰽伂巿旆杮沛肺芾霈
帀	䞙匝咂帀沞砸迊韴魳
市	市柿
布	佈布怖抪鈽钸
帇	帇
希	㾙䛥䮎俙唏希悕晞桸欷浠瓻睎稀絺脪莃豨郗鵗
帚	帚箒鯞
帝	㛳䱱偙啼崹帝揥楴渧禘締缔腣蒂諦谛蹄鶙
帥	帅帥
師	师師狮獅筛篩蒒蛳螄鰤
席	席蓆褯
帶	㦅㯂㿃䠠僀墆嵽带帶慸懘摕殢滞滯艜蔕螮蹛遰
幂	冪幂濗羃
干	㔓㢨㿻䍐䮗䵟仠刊奸岸干忓扞旰杆汗涆犴玕皯盰矸秆竿罕肝蓒虷衎衦訐讦豻赶軒轩迀邗酐釬閈闬靬頇顸飦馯骭鳱鼾
平	㛁䍬伻匉坪平怦抨枰泙砰胓苹萍蚲評评閛
年	年秊
幵	㰢㿼䀘䗗䵤䶬妍姸岍幵开揅枅栞汧研笄羿蚈訮詽豜豣趼開雃鳽麉
并	㔙䈂䑫䴵䶄併偋姘屏并庰恲拼摒栟洴瓶皏竮箳簈絣缾胼艵荓蓱蛢賆跰軿迸郱鉼頩餅饼駢骈骿鮩鵧
幸	㼬䛭倖婞幸悻涬緈
幺	吆幺
幻	幻
幼	㑃䬀䱂呦坳幼怮拗泑狕眑窈苭蚴袎軪靿鴢黝
幽	䫜幽
幾	㙨䟇䤒僟叽嘰幾機玑璣畿矶磯禨穖蟣譏讥鐖鞿饑
广	㢂广
庚	庚賡赓鶊
府	俯府腐腑
度	䩲剫喥度渡踱鍍镀
庶	㫂㵂䗪䭖嗻墌庶摭樜蔗蟅謶蹠遮鷓鹧
康	㝩㱂䗧康慷槺漮穅糠躿
庸	㟾㣑㺎䗤傭墉庸慵槦滽鄘鏞镛鱅
廉	䆂嬚帘廉濂濓燫簾薕蠊譧鐮镰
廌	廌
廛	㙻廛瀍緾纏缠躔鄽
廣	嚝圹壙廣彍懬扩擴旷曠櫎瀇爌犷獷矌矿礦穬纊纩邝鄺鑛
延	㢟䀽䘰䩥唌埏延挻梴涎狿硟筵綖脠莚蛋蜑蜒誕诞郔鋋鯅
廷	㹶䩠侹娗庭廷挺梃涏珽筳綎脡艇莛蜓誔鋌铤霆頲颋鼮
建	㯬䭈健建揵旔楗毽湕犍腱鍵键鞬騝
廾	廾
廿	廿
弁	㝸㮥㺹䒪䪻匥弁拚昪畚笲軬閞鴘
弃	弃棄
弄	㢅㳥哢弄梇硦
弇	媕弇揜渰鞥黭
弋	㚤䄩䘝䣧䴬弋忒杙甙芅貣釴隿黓
式	侙式弑弒恜拭栻烒試试軾轼鉽
弓	弓芎
弔	伄吊弔盄
引	䀕䏖引弞矤矧紖蚓訠鈏靷
弗	㔗䄶䛍䞞佛刜咈坲弗彿怫拂昲柫氟沸炥狒疿砩笰紼绋胇艴茀髴
弘	宖弘泓紭苰鞃
弟	㖒䑯䬾剃娣弟悌挮梯涕睇稊第綈绨罤苐蕛豑銻锑鬀鮷鵜鹈
弢	弢詜
弦	㡉婱弦惤
弭	㥝弭渳葞麛
弱	䐞䚥嫋弱愵搦溺篛蒻
强	勥弜強强繈膙襁鏹镪
弼	㢸弼
彑	彐彑
彔	㪖㫽㯟䎑䚄䟿䱚娽彔录氯淥渌琭盝睩碌祿禄箓簶籙綠緑绿菉趢逯醁錄録騄龣
彖	㔏㥟䂕䛹䤙䧘䱲剶劙喙堟墬彖掾椽橼櫞欚湪猭瑑盠篆緣缘蝝蠡褖餯鶨
彗	㨹㩨䨮䵻嘒嚖彗慧暳槥櫘熭篲蔧轊鏏雪
彘	彘璏
彝	彝彞
彡	㣌䀐䑣彡杉衫釤钐
彤	彤浵肜
彥	偐喭嵃彥彦楌諺谚遃顏顔颜齴
彪	䬌彪淲滮
彬	彬虨霦
彭	嘭彭憉澎膨蟚蟛
彳	彳
役	䓈坄垼役椺炈疫豛鈠
後	後
徙	屣徙簁縰蓰褷
從	㢔㼻䐫䗥䙕䡮傱嵸從怂慫摐暰枞樅熧瑽疭瘲磫縱纵聳苁蓯豵蹤鏦
御	䥏御禦篽籞蘌
微	㵟䉠䥩媺幑微徽溦癓矀薇覹鰴黴
徵	徵惩懲澂癥
徹	㯙䒆彻徹撤澈轍辙
心	伈吣心杺沁
必	㘠䀣䏟䖩䩛䪐䫾佖咇妼必怭柲毖泌珌祕秘苾虙覕邲鉍铋閟飶馝駜鮅鴓
志	䓌娡志痣誌
忝	㮇忝悿添舔菾
念	䭃唸埝念惗捻敜棯淰稔腍菍諗谂趝錜
忽	㧾䬍忽惚淴
思	䚡偲崽思恖愢揌楒毸禗緦缌罳腮葸諰顋颸飔鰓鳃
恩	嗯恩煾
息	㮩㴧䭒媳息熄瘜蒠鄎
悉	㴽䊝僁悉窸蟋
悤	㷓䆫䉥䗓偬傯幒忩怱总悤愡憁憽揔摠楤檧熜牎牕璁窓窻緫總繱聦聪聰葱蔥謥鍯騘驄骢
惠	惠憓橞潓穗繐蕙蟪譓鏸韢
惢	惢繠蕊蘂
意	䗷亿億噫忆意憶檍澺癔繶臆薏譩醷鷾
愛	僾叆嗳噯愛暧曖爱瑷璦瞹薆靉
感	䃭䉞䫲感憾撼轗鱤
慮	儢勴慮摅攄櫖滤濾爈藘虑鑢
慶	庆慶羻
憂	㱊优優嚘憂懮櫌瀀獶纋耰鄾
憲	䘆䜢宪幰憲攇瀗
戈	㳀划戈鳶鸢
戉	㞽㧔䋐䎀䟠䬂怴戉樾泧狘眓越鉞钺
戊	戊茂
戌	㖅戌珬銊
戍	㲓戍
戎	㣝㭜娀戎狨絨绒茙駥
成	䫆城墭宬成晟珹盛筬誠诚郕
我	㧴䄉俄哦娥峨峩我涐睋硪莪蛾誐餓饿騀鵝鹅
戒	㖑㳦悈戒械祴裓誡诫駴
戔	㟞㣤㹽䉔䎒䏼䗃䴼俴刬剗嶘帴戋戔栈棧残殘浅淺溅濺牋琖盏盞笺箋籛綫虥諓賤贱践踐輚醆錢钱餞饯
或	㖪㚜㰲䂸䬎䮙域彧惑或掝棫淢琙稶緎罭聝蜮閾阈馘魊
戚	㗤䙘傶嘁墄慼慽戚摵槭磩縬蹙鏚顣
戛	嘎戛
戜	䟈戜鐵铁驖
戟	戟撠
戠	帜幟戠樴炽熾織织职職膱蟙識识軄
截	㵶䕙䘁䟌䰏䶪嶻巀截蠽
戴	戴襶
戶	䋀僱帍戶户戸戽扈昈沪滬簄雇頋顧顾
戾	㑦㪐䓞唳悷戾捩泪淚綟蜧錑
所	㫹所齭
扁	㲢㻞㼐㾫偏匾媥徧惼扁揙斒楄牑猵甂瘪癟碥篇糄編编翩艑萹蝙褊諞谝蹁遍騗騙骗鯿鳊
扇	傓扇搧煽
手	手杽
才	䊷䞗䴭才材豺財财鼒
折	㑜㝂䀸䇽䏳䟷䩢䭁哲哳娎悊折晢晣浙焎狾硩蜇誓踅逝銴
拋	抛拋
拜	拜湃
拶	㳨拶
掃	埽扫掃
支	㩼㩽㲍㽻䃽䅩䚳䝸䞚䡋䧴䰙伎吱妓屐岐庋庪忮技支攱枝歧汥翄翅肢芰蚑衼豉跂頍馶鬾鳷
收	收荍
攸	㫍㶖䩦修倏倐儵悠攸樇浟滫筱絛绦翛脩莜蓨虪跾鋚鞗鯈
敄	㡔㮘䋷䓮䜼䨁务務堥婺嵍愗敄楘瞀蓩蝥鍪雾霚霧霿鞪騖骛鶩鹜
敏	慜敏鰵
敕	勅慗敕遫鷘
敖	䦋䫨傲嗷嗸嫯嶅摮敖滶熬獒磝聱蔜螯謷遨鏊驁骜鰲鳌鷔鼇
敝	䌘嫳币幣弊彆憋撆撇敝斃暼毙潎瞥蔽虌襒蹩鄨鐅鱉鳖鷩鼈
敞	僘廠敞氅
敢	㒈㺖噉憨撖敢橄澉瞰譀豃闞阚
散	䉈撒散潸糤繖鏾霰饊
敦	䇏啍噋埻墩弴惇憝憞敦暾淳炖焞燉犉稕諄譈谆醇錞鐓驐鶉鷻鹑
敫	㰾䚫儌噭墽徼憿敫檄激燩獥璬皦礉窍竅繳缴薂覈譥邀鸄
敬	儆惊憼擎敬曔檠璥蟼警驚
數	擞擻数數籔薮藪
文	䘇䰚彣忞抆文旻旼汶玟玫盿紊紋纹蚊雯馼鳼鼤
斗	㪷抖斗斢枓蚪鈄阧
料	料炓
斛	䈸斛槲蔛
斝	斝
斤	㹞䓄䖐劤听圻垽岓庍忻掀斤斦旂昕欣沂炘焮玂祈芹菦蕲蘄蚚訢赾近邤釿靳頎颀齗
斥	㿭䞣坼拆斥柝跅
斬	㨻䟅䤔䭕䳻堑塹壍嬱崭嶃嶄惭慙慚摲斩斬暂暫椠槧渐漸獑蔪螹覱蹔錾鏨
斯	㒋㯕㽄䔮凘厮嘶廝撕斯澌燍蟴鐁
新	㜪新薪
斲	斲
斷	䠪断斷
方	䄱仿倣坊妨彷房放方昉枋汸淓牥瓬祊紡纺肪舫芳蚄訪访趽邡鈁钫閍防雱髣魴鲂鴋鶭
於	唹扵於棜淤瘀箊菸閼阏
施	㒾䗐崺拖施暆箷絁葹迤鍦駞
斿	斿游蝣遊
旁	䄘䅭䒍䠙䨦傍嗙徬搒旁榜滂牓磅篣縍膀蒡螃謗谤鎊镑霶騯髈
旅	㭚䮉旅玈祣膂
旋	㳬䁢䗠嫙旋漩琁璇縼蜁鏇
族	䃚嗾族瘯簇蔟鏃镞鷟
无	无
旡	旡炁
既	㮣䀈䊠䐴嘅塈慨摡既旣暨曁概槩櫭溉穊蔇鱀黖
日	䖑䵒日汨衵馹
旦	㡺䋎䖧䦔䵣但呾坦妲怛担旦炟狚疸笪胆袒觛靼鴠
旨	㚛㞓㞛㴯恉指旨栺脂詣诣鮨鴲
早	愺早皁皂騲
旬	㧦㰬䀏䖲侚咰姰峋徇恂惸旬槆殉洵珣眴筍箰絢绚荀詢询迿郇
旱	㪋䏷䓍䛞䳚垾娨悍捍旱桿焊皔睅稈蔊趕銲駻
旵	旵
昆	䃂䚠倱崐崑惃掍昆晜棍混焜猑琨箟緄菎蜫輥辊錕锟餛馄騉鯤鲲鵾
昌	倡唱娼昌猖琩菖裮閶阊鯧鲳
明	䳟奣明朙盟莔萌
昏	䫒婚惛捪昏昬棔殙湣痻睧緍緡缗錉鍲閽阍
易	㑥䯜儩剔埸惕敡易晹痬睗緆舓蜴裼賜赐踢逷錫锡鬄
昔	㳻䄍䇎䜺䣢䱜借剒厝唶庴惜措斮昔棤焟猎皵矠碏簎籍耤腊藉蜡諎趞踖躤逪醋錯错鵲鹊齰
昚	昚
昜	㼒䑗䵮伤偒傷啺场場塲婸崵愓慯扬揚摥敭旸昜暘暢杨楊殇殤汤湯炀烫煬燙瑒璗畅畼疡瘍盪砀碭禓簜肠腸荡蕩薚蝪觞觴諹踼輰逿鍚鐋钖阳陽颺餳鰑鸉
星	惺星曐猩睲篂腥醒鯹
春	䐏偆惷春椿瑃蠢賰踳鬊
是	㓳㖷㼵䈕䊓䐎䚣匙堤媞寔徥提是湜瑅睼禔緹缇翨蝭褆諟趧踶遈醍鍉隄鞮題题騠鯷
昱	喅昱煜
昶	昶
昷	㼔䯠嗢塭媪媼愠慍揾搵昷榅榲殟氲氳温溫煴熅瘟緼縕腽膃蒀蒕蕰蕴薀藴蘊蝹褞豱輼轀辒酝醖醞韞韫馧
時	埘塒时時榯莳蒔鰣鲥
晃	䁜幌晃晄榥滉
晉	㬜戩戬搢晉晋榗瑨縉缙鄑
晏	䁙晏騴鷃
晝	昼晝
普	普譜谱
景	䭘影憬景暻澋璟
晶	晶
暑	暑
暴	㩧㿺嚗懪暴曝瀑爆犦襮謈
暹	暹
曄	晔曄曅烨燁爗皣瞱
曇	壜昙曇
曰	䫻曰欥汩蚎
曲	䒼曲
曳	㡼㹭䄿䇩䎈䒶拽曳曵洩跩
更	䢚哽埂挭更梗浭硬稉粳綆绠郠鞕骾鯁鲠
曷	㔠㵣㵧㿣䅥䈓䋵䔽䔾䦪䫘偈喝堨嵑愒揭擖暍曷朅楬歇毼渴猲獦碣竭羯葛蔼藒藹蝎蠍褐謁谒輵遏鍻霭靄鞨餲馤鶡鹖齃
書	书書
曹	㡟㷮䄚䏆䐬傮嘈慒曹槽漕糟艚蓸螬褿遭醩
曼	㿸䅼䊡䜱䝢䟂䡬墁嫚幔慢曼槾漫獌縵缦蔓蟃謾谩鏝镘饅馒鬘鰻鳗
曾	㬝䁬䆵䎖䒏䙢䰝僧噌增层層嶒憎曾橧潧熷甑矰磳竲繒缯罾譄贈赠蹭鄫鏳驓鬙
替	㬱僣暜替
最	䴝嘬撮最繓蕞襊
朁	㔆㣅㻸㿊䁮䅾䍼䐶䣟䣠䤐䫬䭙僭噆嶜憯撍昝朁潛潜熸簪糣蚕蠶譖谮鐕
會	䢈䯤䵳䶐会侩儈刽劊哙噲嬒廥懀旝會桧檜浍澮烩燴狯獪璯瞺禬繪绘脍膾荟薈襘譮郐鄶鬠鱠鲙
月	䎳䚴刖外抈月枂玥蚏跀鈅
有	䀁䒴䞥䳑䵋侑哊囿姷宥戫有栯洧烠珛痏絠蛕賄贿郁酭鮪鲔
朋	㥊倗堋弸掤朋棚淜硼輣鬅鵬鹏
服	服棴箙菔鵩
朏	昢朏
朔	塑愬朔槊溯蒴遡
朕	㑞儯勝塍媵幐朕栚榺滕眹籐縢腾膡蕂藤螣誊謄賸騰鰧黱
朝	嘲庙廟朝潮
朢	朢
木	木沐蚞霂
未	佅味妹寐昧未沬眛菋魅鮇
末	䬴䱅䴲妺帓怽抹昩末枺沫眜秣粖茉袜靺韎
本	㡷本笨缽翉苯鉢钵
札	㳐扎札紮蚻
术	㾁䟣怵朮术沭炢秫蒁術訹述
朱	㦵㸡㼡䇬䎷侏咮姝朱株殊洙珠硃祩絑茱蛛袾誅诛趎跦邾銖铢陎鮢鴸鼄
朵	㛊䤪刴剁垛挆朵朶桗跺躲
朿	㢀㾊刺刾憡拺擌朿栜洓策莿跡迹
李	李
杏	杏莕
束	㑛嗽娕悚捒摗束梀樕欶殐涑漱瘶竦綀蔌藗誎速遬鏉餗駷
東	㼯䍶䰤䵔东倲冻凍埬崠東栋棟涷菄蝀鯟鶇
杲	杲菒
杳	杳
松	㮤倯凇崧松淞硹菘蜙鬆
析	㭊㱤䨛惁晰析淅皙菥蜤蜥
林	啉婪惏林棽淋漤琳痳箖綝罧菻郴醂霖
枚	枚
果	㷄㾧䊬䴹堁夥婐惈敤果棵猓祼稞窠粿菓蜾裸裹課课踝躶輠顆颗髁
枼	㵩䁋䈎䐑䑜䕈䚢䢡䥡偞喋堞媟屟屧弽惵揲枼楪殜渫煠牃牒碟緤葉蝶褋諜谍蹀鍱鞢韘鰈鲽
枿	枿
某	䤂媒某煤禖腜謀谋
染	媣染
柔	㽥䰆揉柔楺煣猱瑈糅腬葇蝚蹂輮鍒鞣韖騥鰇鶔
查	喳查査楂渣碴
柬	㪝㼑堜拣揀暕柬楝湅炼煉練练萰諫谏鍊鰊
柰	㲡奈捺柰渿
栗	㗚㟳㮚䔁凓塛慄搮栗溧瑮篥鷅麜
桀	傑嵥搩杰桀榤滐謋
桑	嗓搡桑桒磉顙颡
桼	㓼㯃䜉䣛䰍厀桼漆膝
條	条條樤涤滌窱篠蓧鰷鲦
梟	枭梟蟂鄡
棗	枣棗
棘	㻷棘蕀襋
棥	䫶攀棥樊矾礬蠜襻
森	森
椎	㢈㮅䜃䶆堆嵟推椎碓脽萑蓷誰谁趡錐锥陮顀騅骓魋鵻
楚	儊憷楚濋础礎齼
業	㗼㸣䌜䧨业嶪業澲礏邺鄴驜鸈
樂	㜰䁻䑈䟏䠯䤕乐嚛擽栎樂櫟泺濼烁爍瓅皪砾礫纅藥觻跞躒轢轹鑠铄
橇	撬橇
橐	橐螙蠹驝
欠	㐸䇜坎崁扻杴欠砍芡鍁
次	䆅䪡䯸䳐佽咨垐姿恣楶次澬瓷粢絘茨薋蠀諮資资趑餈
欮	欮瘚闕阙
欻	㗵欻
款	䄐䥗䲌欵款歀窾
止	䊼址杫止沚祉芷趾阯齒齿
正	䋊佂征怔政整正症眐竀証鉦钲鴊
