此版簡化主要涉及
1. 部件重複而其重複不影響含義的，去掉重複的部分
2. 甲骨以後在篆書分化的部件，作爲其它字部分時，採用較簡單的（如在其它字中作爲部件時「糸>幺」）
3. 繁化時可有可無的部件
5. 鳥獸重新擬定隸變
未涉及的簡化
1. 左右重複，有兩種簡化策略：可以縮合書寫縱向的筆畫（公式：2xN>N+1），或者可以參考草書簡寫
2. 多次重複書寫，可加漢字數字表示（如「龖>⿰二龍」）
2. 鳥獸足以「一」表示
3. 簡化「目、貝、見」等形

以下是部件分類（方向符號↺↶↷↔↕指示符號↓分數符號½⅓）
*衍生字
!構型不明
-----身體和器官-----
巿	5DFF	蓋於衣裳上的服飾
帶	5E36	衣帶
弁	5F01	⿱{帽子}廾，古文「㝸」
衣	8863	衣服
*勞	52DE	⿻衣{幾個點}，縫衣過程中
*衣	5352	⿻衣↓，縫衣完成
?	2033A	蓑衣，即「衰」中間的結構
-----建築-----
宀	5B80	房屋
广	5E7F	房屋
*廛	5EDB	⿸广⿱?土，平民一家所居的房地，構形不明
宁	5B81	貯
*㐭	342D	⿱宀⿰{兩堆東西}，粮仓
亞	4E9E	某種建築佈局
余	4F59	茅舍
⿱亠口	-	臺塔類建築，這是從下面幾個字拆分的部件
*京	4EAC	⿳亠口{三個豎線，即柱子}，高台
*亯	4EAF	⿳亠口〇，用于祭享的建築，後分化「亨、享」字
*高	9AD8	⿳亠口⿱冖口，高
瓦	74E6	瓦
-----材料和物質-----
!丹	4E39	硃砂，一說象形井中一點，即採硃砂礦的井
仌	4ECC	冰
呂	5442	某種金屬
*予	4E88	「呂」分化，取其聲
土	571F	土
幺	5E7A	絲
*!幻	5E7B	⿰幺{伸出來的絲線}
*玄	7384	〾幺，黑
*率	7387	⿻〾幺{上下拉伸}{幾個點}，索
*糸	7CF8	細絲，「幺」分化
*素	7D20	⿻糸廾
*索	7D22	⿻糸廾
*絲	7D72	⿰糸糸，絲
*〾⿰幺幺	-	⿰幺幺上方相連，生「䜌、聯」等字
气	6C14	氣
*乞	4E5E	「气」分化
水	6C34	水，又作「氺」
*永	6C38	⿻水人
**𠂢	200A2	↔永
*?	23D92	〾水，洄流水、深淵，即「淵」字右側部分
火	706B	火
玉	7389	玉
*丯	4E2F	「玉」分化
石	77F3	石頭
*厂	5382	〾石，崖
*!匹	5339	⿸石乙
金	91D1	金屬，構型存疑
-----人-----
人	4EBA	人
*介	4ECB	⿻人{四個點}，介于、在中間
*儿	513F	「人」變形的部件
*元	5143	⿱人↓，人頭
**兀	5140	「元」分化
*允	5141	〾人，象形人有個空心的頭，含義不明
*兒	5152	⿱{小儿头囟未合}人，嬰兒
*!冘	5198	⿻人?
*勹	52F9	〾人，包裹，象形人蜷曲包裹，「包」即「⿴勹子」
*北	5317	⿰人↔人，背，象形兩人相背
*夃	5903	⿰人↓，股
*!失	5931	⿻人?
*⿱{頭飾}人	-	「微」字中間的結構，「美」分化
*欠	6B20	⿱{嘴張著吹氣}人，人張口吹氣
**旡	65E1	↔欠
*皃	7683	⿱{大頭}人，人面
**兜	515C	⿴{頭盔}皃，兜鍪，一種頭盔
*𠤎	2090E	↺人
*⿱?矢	20915	⿱{抬頭}人，疑惑，即疑左側部分
**矣	77E3	〾20915
*?	2B824	〾人，遊玩
卩	5369	跪坐的人，變形可作「㔾」
*丮	4E2E	⿻⿰手手卩，跪坐的人伸出雙手
**鬥	9B25	⿰↔丮丮，兩人相鬥
*?	20A0D	⿰↔卩卩
大	5927	大人
*㚒	3692	⿻大⿰{腋下兩個東西}，腋下藏物
*!亢	4EA2	⿵大↓
*交	4EA4	〾大，交叉，象形人雙腿交錯
*亦	4EA6	⿻大⿰↓↓，腋
*叕	53D5	「大」手腳綑綁，聯綴
*夨	5928	〾大，人歪頭
*天	5929	⿱↓大，天
*夫	592B	⿻大{頭飾}，夫
*夭	592D	〾大，人快跑，「夭折」之「夭」和「奔走」之「夭」事實爲兩字
*央	592E	⿻大{枷鎖}，殃、災禍
*尢	5C22	〾大{一条腿弯曲}，跛
*屰	5C70	↺大，逆
*文	6587	〾大，人軀幹有紋
*粦	7CA6	⿻大{四个点}，燐，後添雙腳的骨骼
*要	8981	⿻〾大⺽
*黃	9EC3	⿻大{田形}
*黑	9ED1	〾大
*𦰩	26C29	⿱口〾大
女	5973	女人
*兂	5142	⿻女{簪子}，簪子
*妻	59BB	⿰又⿱{頭髮}女，奪女爲妻
*母	6BCD	〾女
**毋	6BCB	〾母
子	5B50	小孩
*孑	5B51	小孩無左臂
*孓	5B53	小孩無右臂
*孔	5B54	⿱{↓小兒頭上有孔未合}子
*!孛	5B5B	⿱?子
*𠫓	20AD3	↺子
尸	5C38	坐在座上的人
无	65E0	一說「無」簡，一說「夫」分化
無	7121	舞
異	7570	奇怪的人
*冀	5180	⿱{頭上的某種東西}異
老	8001	老人
若	82E5	人跪坐梳髮，年輕
長	9577	老人
鬼	9B3C	鬼
*畏	754F	⿻鬼{拿棍}
*禺	9B3C	〾鬼
-----工具-----
㚔	3694	手銬，刑具
㫃	3AC3	旗
丂	4E02	木拐杖
中	4E2D	中間，象形一種木竿上帶有飄帶的工具，可以測量風向
乂	4E42	除草的剪刀
刀	5200	刀
*亡	4EA1	⿰↓刀，刀芒，即刀刃
*刃	5203	⿰↓刀，刀刃
**!刅	5205	⿰刃↓
*勿	52FF	⿰{水滴}刀，刎
*方	65B9	⿻刀?
*⿱{刺}刀	2D592	⿱{刺}刀，「徵」中間的結構
力	529B	某種農具
卜	535C	龜甲占卜的裂紋
厄	5384	軛，駕馬拉車時駕在頸上的器具，一邊繫於轅前橫木，一邊架於馬頸，又作異體「戹」
巠	5DE0	紡織機上垂直的絲線
工	5DE5	一種測量或建築工具，類似曲尺
*巨	5DE8	〾工，矩
巫	5DEB	巫具
弋	5F0B	尖尖的木棒
彔	5F55	水車
彖	5F56	豬
彗	5F57	掃帚
斤	65A4	斧子
耒	8012	耕具
辛	8F9B	某種刑具，「䇂」類似
*!章	7AE0	⿻䇂?
辰	8FB0	一種農具
?	20992	网，即「畢」字下半結構
