# 本表聲旁及轄字無重覆
# 少量轄字的聲化字的附屬字()標示
# 特殊情況用[]標示
𦥑	⺽䳔閰𦥑
且	㚗㡹㸖䏣䔘䖕䢐䢸䣯䪶䱉且伹俎(葅)刞咀坥姐岨徂(䓚)怚抯柤殂(𣹖)沮(䈌菹)狙珇疽砠祖(䔃𡏄𣗿𤍄)租(蒩)笡粗組组罝耝苴(䃊)蛆袓詛诅豠趄跙鉏阻(唨)雎靻飷駔驵鴡麆齟龃𩗃𪗱
虘	㜘㢒㪥䁦䠡䣜䶥摣樝皻蔖虘覰謯齇𪓐
助	助筯耡莇鋤(㐥)锄𢄂𤞩
丕	㚰㺽䋔䪹䲹丕伾呸噽坯岯怌抷柸狉秠胚苤蚽豾邳鉟駓髬魾𣆏𣌹𤇨𨸹𬳵
㔻	㔻䮆銔
世	㔺㰥䄁世丗伳呭屉屜怈抴枻泄玴疶笹紲绁袣詍貰(勩)贳(勚)跇迣鉪靾髰齛
卋	卋
丘	㐀㚱㳋䟬丘丠坵岴拞蚯邱駈𠰋𥬨𥿤𩨼𩿨
丙	㑂㶮丙怲抦昞昺柄炳病眪窉苪蛃邴鈵陃𠰳𡛦𤖶(寎)𥹘𧦿𨋣𩛄𬇞
並	䗒䰃並掽椪湴碰踫𡖼𡴢
竝	傡竝𩄳
丨	丨
丩	㧃㸨㺩㽱䡂䤛丩嘂朻糾纠舏虬虯觓訆赳鼼
叫	䆗叫呌𠲠𢫃𣌺𣐲𨦀
收	收荍𦀏𩷊
个	个𠮶
亇	亇𩵜
丫	丫吖
中	㞲㲴䆔中仲(㳞筗茽)冲妕忠(㥙)忡(浺)沖狆盅祌种翀肿舯蚛衶衷鈡钟𣐄𦬕
丮	丮
丯	丯
丰	㕩㭋䂜䒠䰷丰仹妦沣炐玤盽肨蚌𡵞
丱	丱
卝	卝
串	串梙賗鋛𠁺𦀵
患	䍺䗭䜨患槵漶瞣贃
窜	撺窜蹿镩
丸	㿪䀓䴟丸奿汍紈纨肒芄骫𡉕𡚺𣏒
丹	䒟䢷䵊丹刐坍(㳩)旃(㮵栴)枬玬砃袇鴅鿕𨱪
丶	丶
主	㹥䇠(樦)䝬䪒主住(𥇁)妵宔拄柱(㴤嵀)殶注(㗟乼霔)炷疰砫紸罜蛀註跓軴迬鉒飳駐驻麈黈(蘣)𠰍𡊲𤖸𦭦𪐴
丽	㛤丽俪婯彨逦郦酾骊鲡鹂
丿	丿
乀	乀
乂	㣻㲼䖊䢃乂刈(苅)
艾	㘷哎砹艾銰餀鴱𤈝𥐋
乃	㭁㲌䄧䚮䯮乃仍(㺱芿(㗡)𠯹)奶扔氖疓礽艿(莻)辸釢鼐𠄎𠮨𢖱𣅅𣱽𤆈𤜠𥾋𧈣
久	㝌㡱久乆匛(柩)奺杦汣灸玖畂疚粂羑(㕗湵)镹𨥆
乇	㡯(䅊侂)乇仛厇吒(䆛𤕔)圫奼(䒲)托(𡱩𢫅𢭑)杔汑(𣴜)灹矺䂝秅(㢉)籷虴託(㓃𣘄𣨰)讬飥饦馲魠
宅	㤞䖳䤩䯔侘咤垞姹宅挓烢秺詫诧𥭌
之	之芝
妛	妛
旹	峕旹
㞢	㞢
乍	㡸㸲䋏䝫䞢䟭䩆乍作(㤰宱筰莋𠴚𤉔)厏(𧨊)咋妰岝岞怍怎拃昨(葃)柞泎炸痄砟祚(𨃼)秨窄(搾榨醡鿽)笮胙(葄𨐷)舴苲蚱詐(𠁙)诈迮酢鈼阼飵鮓鲊齚𩿞
做	做
乎	㭔䉿䤣䴣乎乥乯呼垀泘烀苸軤轷雽𠇼𧦝
乏	㞏䍇䒦(㴀𦹴)䟪乏姂抸柉泛(𣓦𥁷)疺眨砭(𠻅𦷩)窆覂貶(𠍥𠹰𢵉𧒅)贬鴔𠇖𠰏𣭛𤇮𤝑𦚖(𠸾)𧊉𩬪𩶟𪀐
众	众
㐺	㐺
乑	乑
乖	㔞㪓㾩䂷䓙乖𡇸𡮓𢮿
乘	乘剩塖嵊椉溗騬
乗	乗剰
乙	㲸乙亿忆穵(挖)肊艺(呓)釔钇鳦𠃣𠃮𠃯𠃷𡴭𡴯(𦙏)𢖮𢩧𣎷𤴥𥝎𦨇𧰦𩁶
乚	䰲䵝乚乩劜圠扎(紥)耴軋(錷)轧
札	㳐札紮蚻𢫄𣑌𩿤
九	㐇㐜㐤㕤㭝䊵䜪䧱䲥九亴仇(㖌𠯾)勼(䬨)厹叴宄尻(㘲䯌泦髛)扏旭(𢬐)朹氿犰究(㙀)肍艽芁虓(婋猇)訄訅軌(匭)轨(匦)釚頄馗鳩鸠鼽𨳊
乞	㩿㫓䇄䎢䒗䞘䢀䦍䩐䬣䰴乞仡刉吃圪屹忔扢杚汔犵疙盵矻籺紇纥肐虼訖(𤍋)讫趷迄釳阣麧齕龁𠖯𩠓
也	㦾䄬䊶䪧䶔也乸他匜吔地(哋𡜤𥒦)她弛彵忚扡杝毑池(筂𠲨𨦥)灺牠祂竾肔虵衪訑貤迆酏釶阤馳驰髢𥐨𦏸
㐌	㐌㢮䝯拖柂炧狏粚絁胣袘迤鉇陁駞𢘬
乳	㐠㳶乳啂𡝦𡮈𢯚𥇽𥯇𦜘𨼼
[⿳爫⿳龴冂厶又]	覙覶覼
亂	亂薍
乱	乱
了	㝋䄦䑠了疗辽釕钌𠖭𠮩𢩪𣱾𤽀𧾿
予	㐨㘧㜿㮊(壄)㶦䂊䂛䦽予伃妤序(垿𢭸)忬抒杼汿紓纾芧豫(櫲)野(嘢墅𣼫)預(澦蕷𠟹𨮌)预(滪蓣)魣
事	䭄亊事倳剚𠶝𢜝
二	二
弍	弍弐𠱌
貳	㒃㦐㹑樲膩貳
贰	腻贰
于	㐵㚥㝼㡰㪀㽳䄨䍂䏏䩒于吁(冔)圩宇(䢓𠱶𨦦)扜旴杅汙(䨕䵦盓窏𧋂)玗盂(䣿)盱穻竽紆纡芋虶衧訏趶迂邘酑釪骬𠃗𠄀𤿍𩁹𬣙
亏	㺮䊸亏亐圬扝杇汚污疞肟芌迃釫𣏓
云	䢵䰟䲰云伝呍囩夽妘忶抎枟沄眃秐紜纭耘(𦶮)耺芸転(𫝚)运酝魂(𡂃𡄬)
雲	䉙墵橒澐繧蕓雲𡢅
互	䇘䊺互仾冱弖枑沍魱𦊂
㸦	㸦𠖱
五	㐏㕶五伍忢𥄬
井	㘫䎴井坓妌宑汫汬穽肼阱
